,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-04-28,145.05,144.92,145.19,275644.0
2022-04-29,124.28,124.28,124.28,1006693.0
2022-05-02,124.46,124.46,124.46,584032.0
2022-05-03,124.27,124.24,124.3,295678.0
2022-05-04,125.91,125.87,125.94,421185.0
2022-05-05,116.45,116.41,116.5,553225.0
2022-05-06,114.79,114.75,114.83,474098.0
2022-05-09,108.84,108.79,108.9,482807.0
2022-05-10,108.9,108.86,108.95,400993.0
2022-05-11,105.41,105.37,105.45,387952.0
2022-05-12,106.91,106.9,106.91,508581.0
2022-05-13,113.08,113.03,113.13,351288.0
2022-05-16,110.85,110.81,110.88,302044.0
2022-05-17,115.4,115.38,115.41,293284.0
2022-05-18,107.18,107.15,107.22,384965.0
2022-05-19,107.3,107.29,107.3,332437.0
2022-05-20,107.6,107.59,107.61,357468.0
2022-05-23,107.52,107.49,107.56,437345.0
2022-05-24,104.13,104.1,104.17,413764.0
2022-05-25,106.84,106.82,106.85,312789.0
2022-05-26,111.06,111.03,111.08,322742.0
2022-05-27,115.17,115.17,115.17,315503.0
2022-05-31,120.19,120.16,120.21,502299.0
2022-06-01,121.68,121.67,121.69,511523.0
2022-06-02,125.57,125.55,125.58,346320.0
2022-06-03,122.35,122.35,122.35,379517.0
2022-06-06,124.82,124.79,124.85,1031386.0
2022-06-07,123.0,122.99,123.0,614253.0
2022-06-08,121.17,121.16,121.18,436321.0
2022-06-09,116.13,116.12,116.13,487953.0
2022-06-10,109.63,109.62,109.64,613901.0
2022-06-13,103.71,103.68,103.74,719808.0
2022-06-14,102.34,102.34,102.35,506024.0
2022-06-15,107.67,107.67,107.68,632560.0
2022-06-16,103.67,103.65,103.68,538592.0
2022-06-17,106.17,106.16,106.17,590608.0
2022-06-21,108.67,108.67,108.68,492676.0
2022-06-22,108.92,108.91,108.92,425638.0
2022-06-23,112.45,112.43,112.47,462664.0
2022-06-24,116.67,116.66,116.69,446220.0
2022-06-27,113.23,113.23,113.24,424105.0
2022-06-28,107.41,107.4,107.41,522624.0
2022-06-29,108.89,108.89,108.9,472160.0
2022-06-30,106.31,106.29,106.32,687651.0
2022-07-01,109.56,109.55,109.56,527714.0
2022-07-05,113.54,113.51,113.57,553702.0
2022-07-06,114.39,114.38,114.39,487323.0
2022-07-07,116.29,116.27,116.31,440682.0
2022-07-08,115.53,115.53,115.54,351127.0
2022-07-11,111.79,111.78,111.8,376917.0
2022-07-12,109.23,109.22,109.23,389898.0
2022-07-13,110.39,110.39,110.4,451324.0
2022-07-14,110.62,110.61,110.62,372168.0
2022-07-15,113.59,113.57,113.6,593741.0
2022-07-18,113.77,113.76,113.78,427269.0
2022-07-19,118.17,118.14,118.19,433336.0
2022-07-20,122.78,122.78,122.79,550837.0
2022-07-21,124.67,124.66,124.68,445294.0
2022-07-22,122.47,122.46,122.47,375295.0
2022-07-25,121.14,121.14,121.15,346589.0
2022-07-26,114.81,114.77,114.85,462991.0
2022-07-27,120.95,120.95,120.96,438202.0
2022-07-28,122.3,122.27,122.33,444832.0
2022-07-29,135.0,134.96,135.04,1061396.0
2022-08-01,135.44,135.43,135.44,588464.0
2022-08-02,134.16,134.16,134.17,476748.0
2022-08-03,139.55,139.54,139.55,524734.0
2022-08-04,142.58,142.57,142.58,540624.0
2022-08-05,140.8,140.79,140.8,372351.0
2022-08-08,139.41,139.41,139.42,384243.0
2022-08-09,137.81,137.79,137.83,279812.0
2022-08-10,142.69,142.66,142.72,366936.0
2022-08-11,140.68,140.67,140.68,323643.0
2022-08-12,143.53,143.53,143.54,331438.0
2022-08-15,143.22,143.21,143.23,278905.0
2022-08-16,144.77,144.76,144.77,427058.0
2022-08-17,142.13,142.11,142.15,349223.0
