,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-03-31,451.64,451.64,451.65,654713.0
2022-04-01,452.88,452.87,452.88,560411.0
2022-04-04,456.78,456.77,456.78,400843.0
2022-04-05,451.12,451.11,451.12,566580.0
2022-04-06,446.56,446.56,446.57,776082.0
2022-04-07,448.75,448.74,448.75,589916.0
2022-04-08,447.62,447.61,447.62,512490.0
2022-04-11,439.96,439.96,439.96,597623.0
2022-04-12,438.24,438.23,438.24,644538.0
2022-04-13,443.37,443.36,443.37,494134.0
2022-04-14,437.87,437.86,437.87,575225.0
2022-04-18,438.0,437.99,438.0,449623.0
2022-04-19,445.0,445.0,445.01,555859.0
2022-04-20,444.67,444.65,444.68,507591.0
2022-04-21,438.03,438.02,438.04,666928.0
2022-04-22,426.09,426.08,426.09,874580.0
2022-04-25,428.5,428.49,428.5,857789.0
2022-04-26,416.13,416.12,416.14,748458.0
2022-04-27,417.25,417.25,417.26,858924.0
2022-04-28,427.79,427.78,427.79,765683.0
2022-04-29,412.07,412.07,412.08,963457.0
2022-05-02,414.52,414.5,414.54,1065755.0
2022-05-03,416.42,416.41,416.42,765496.0
2022-05-04,428.99,428.98,428.99,1048903.0
2022-05-05,413.91,413.89,413.93,1308433.0
2022-05-06,411.39,411.38,411.41,1049667.0
2022-05-09,398.25,398.25,398.26,1072272.0
2022-05-10,399.06,399.05,399.07,934898.0
2022-05-11,392.78,392.77,392.78,965823.0
2022-05-12,392.39,392.38,392.41,880851.0
2022-05-13,401.67,401.66,401.68,733089.0
2022-05-16,400.25,400.23,400.26,551820.0
2022-05-17,408.26,408.26,408.26,579836.0
2022-05-18,391.93,391.91,391.94,773294.0
2022-05-19,389.44,389.44,389.45,697034.0
2022-05-20,389.6,389.59,389.61,845584.0
2022-05-23,396.94,396.93,396.95,571020.0
2022-05-24,394.0,393.99,394.0,655834.0
2022-05-25,397.56,397.55,397.56,598043.0
2022-05-26,405.29,405.28,405.29,554460.0
2022-05-27,415.36,415.35,415.36,575834.0
2022-05-31,412.95,412.94,412.97,624214.0
2022-06-01,409.63,409.62,409.64,614272.0
2022-06-02,417.37,417.36,417.37,563963.0
2022-06-03,410.6,410.59,410.61,506537.0
2022-06-06,411.76,411.75,411.77,440797.0
2022-06-07,415.69,415.69,415.7,419204.0
2022-06-08,411.29,411.28,411.29,444690.0
2022-06-09,401.47,401.46,401.47,579508.0
2022-06-10,389.81,389.81,389.82,835227.0
2022-06-13,375.03,375.02,375.03,1007390.0
2022-06-14,373.82,373.82,373.83,695588.0
2022-06-15,379.13,379.13,379.14,881048.0
2022-06-16,366.93,366.92,366.94,892253.0
2022-06-17,365.85,365.84,365.85,694206.0
2022-06-21,375.06,375.05,375.06,525544.0
2022-06-22,374.37,374.35,374.38,583786.0
2022-06-23,378.13,378.12,378.13,549464.0
2022-06-24,390.06,390.05,390.06,621403.0
2022-06-27,388.67,388.66,388.67,473263.0
2022-06-28,380.74,380.73,380.74,594197.0
2022-06-29,380.37,380.36,380.37,498654.0
2022-06-30,377.29,377.28,377.29,747983.0
2022-07-01,381.2,381.2,381.21,544227.0
2022-07-05,381.95,381.95,381.96,599357.0
2022-07-06,383.31,383.31,383.32,508193.0
2022-07-07,388.94,388.94,388.95,436231.0
2022-07-08,388.68,388.67,388.69,465708.0
2022-07-11,384.3,384.29,384.3,415558.0
2022-07-12,380.88,380.88,380.89,434800.0
2022-07-13,378.87,378.86,378.88,563095.0
2022-07-14,377.97,377.96,377.97,568144.0
