,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-04-22,273.98,273.92,274.04,158009.0
2022-04-25,280.74,280.72,280.76,204952.0
2022-04-26,270.25,270.22,270.27,228351.0
2022-04-27,283.22,283.08,283.35,415913.0
2022-04-28,289.73,289.72,289.74,193189.0
2022-04-29,277.66,277.57,277.74,190250.0
2022-05-02,284.54,284.47,284.6,209788.0
2022-05-03,281.83,281.77,281.9,142697.0
2022-05-04,290.04,289.94,290.13,200822.0
2022-05-05,277.57,277.51,277.64,250536.0
2022-05-06,274.73,274.72,274.73,219677.0
2022-05-09,264.58,264.58,264.59,260682.0
2022-05-10,269.45,269.45,269.46,217486.0
2022-05-11,260.67,260.66,260.67,250219.0
2022-05-12,255.36,255.35,255.36,303922.0
2022-05-13,261.12,261.1,261.13,203757.0
2022-05-16,261.56,261.53,261.6,203966.0
2022-05-17,266.88,266.86,266.91,173807.0
2022-05-18,254.22,254.14,254.31,164339.0
2022-05-19,253.14,253.13,253.14,201962.0
2022-05-20,252.57,252.56,252.58,233905.0
2022-05-23,260.66,260.65,260.67,197601.0
2022-05-24,259.92,259.78,260.05,187799.0
2022-05-25,262.6,262.53,262.66,172497.0
2022-05-26,265.85,265.84,265.86,143307.0
2022-05-27,273.25,273.2,273.29,147915.0
2022-05-31,271.93,271.85,272.01,166744.0
2022-06-01,272.36,272.35,272.36,159329.0
2022-06-02,274.63,274.62,274.63,294235.0
2022-06-03,270.05,270.04,270.05,142919.0
2022-06-06,268.75,268.74,268.75,123429.0
2022-06-07,272.47,272.43,272.5,116712.0
2022-06-08,270.47,270.46,270.47,102016.0
2022-06-09,264.7,264.7,264.71,137270.0
2022-06-10,252.9,252.89,252.9,180123.0
2022-06-13,242.31,242.28,242.33,228727.0
2022-06-14,244.61,244.55,244.66,159596.0
2022-06-15,251.78,251.76,251.81,177969.0
2022-06-16,245.12,245.11,245.12,176295.0
2022-06-17,247.53,247.53,247.54,245990.0
2022-06-21,253.69,253.63,253.74,141497.0
2022-06-22,253.03,253.0,253.05,131226.0
2022-06-23,258.93,258.91,258.95,133828.0
2022-06-24,267.95,267.93,267.98,153846.0
2022-06-27,264.93,264.89,264.96,117376.0
2022-06-28,256.48,256.46,256.49,150487.0
2022-06-29,260.26,260.25,260.27,123588.0
2022-06-30,256.93,256.86,256.99,157529.0
2022-07-01,259.57,259.52,259.62,122650.0
2022-07-05,262.95,262.94,262.97,125098.0
2022-07-06,266.25,266.24,266.25,127975.0
2022-07-07,268.31,268.24,268.38,115588.0
2022-07-08,267.63,267.59,267.66,115875.0
2022-07-11,264.59,264.54,264.64,98059.0
2022-07-12,253.68,253.67,253.68,230779.0
2022-07-13,252.67,252.65,252.69,174356.0
2022-07-14,254.06,254.04,254.08,150209.0
2022-07-15,256.73,256.7,256.76,163577.0
2022-07-18,254.35,254.32,254.38,121727.0
2022-07-19,259.44,259.38,259.51,125187.0
2022-07-20,262.24,262.2,262.27,134611.0
2022-07-21,264.87,264.86,264.88,127370.0
2022-07-22,260.42,260.38,260.46,128695.0
2022-07-25,258.85,258.82,258.87,110290.0
2022-07-26,251.75,251.59,251.9,201007.0
2022-07-27,268.61,268.54,268.68,283157.0
2022-07-28,276.42,276.41,276.42,224873.0
2022-07-29,280.78,280.74,280.81,180364.0
2022-08-01,278.01,278.01,278.02,128576.0
2022-08-02,274.78,274.74,274.82,134392.0
2022-08-03,282.47,282.46,282.47,128072.0
2022-08-04,283.66,283.65,283.66,105897.0
2022-08-05,282.86,282.85,282.86,94014.0
2022-08-08,280.36,280.34,280.38,106473.0
2022-08-09,282.3,282.29,282.31,120805.0
2022-08-10,289.13,289.13,289.14,139406.0
2022-08-11,287.21,287.09,287.33,115323.0
2022-08-12,291.91,291.9,291.91,101224.0
2022-08-15,293.53,293.52,293.53,88164.0
2022-08-16,292.71,292.69,292.73,91925.0
2022-08-17,291.39,291.37,291.41,99500.0
2022-08-18,290.24,290.22,290.26,88878.0
2022-08-19,286.16,286.15,286.16,102854.0
2022-08-22,277.83,277.8,277.87,120914.0
2022-08-23,276.43,276.42,276.44,96670.0
2022-08-24,275.92,275.86,275.97,94119.0
2022-08-25,279.0,278.97,279.02,88887.0
2022-08-26,268.22,268.17,268.26,119107.0
2022-08-29,265.27,265.23,265.31,103361.0
2022-08-30,262.98,262.95,263.0,111547.0
2022-08-31,261.45,261.44,261.46,110447.0
2022-09-01,260.38,260.37,260.38,137079.0
2022-09-02,256.11,256.09,256.13,130277.0
2022-09-06,253.31,253.3,253.31,128127.0
2022-09-07,258.06,258.04,258.09,123205.0
2022-09-08,258.55,258.53,258.56,112209.0
2022-09-09,264.44,264.43,264.44,124229.0
2022-09-12,266.67,266.66,266.68,90154.0
2022-09-13,252.0,251.99,252.0,168383.0
2022-09-14,252.25,252.24,252.25,131138.0
2022-09-15,245.33,245.32,245.33,188628.0
2022-09-16,244.74,244.73,244.75,246903.0
2022-09-19,244.58,244.57,244.58,163800.0
2022-09-20,242.46,242.45,242.47,166325.0
2022-09-21,238.96,238.95,238.96,183592.0
2022-09-22,240.79,240.78,240.8,204368.0
