,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-09-23,140.44,140.42,140.47,216823.0
2022-09-26,136.35,136.34,136.37,203388.0
2022-09-27,134.41,134.39,134.44,220985.0
2022-09-28,141.59,141.58,141.59,237974.0
2022-09-29,136.43,136.42,136.44,298234.0
2022-09-30,135.7,135.68,135.72,239659.0
2022-10-03,138.63,138.62,138.65,197330.0
2022-10-04,140.37,140.36,140.38,237480.0
2022-10-05,138.94,138.92,138.97,212269.0
2022-10-06,139.09,139.08,139.1,248517.0
2022-10-07,133.46,133.45,133.47,236512.0
2022-10-10,133.75,133.74,133.77,174258.0
2022-10-11,128.54,128.52,128.56,278680.0
2022-10-12,127.48,127.47,127.49,264185.0
2022-10-13,130.27,130.25,130.29,249335.0
2022-10-14,126.85,126.82,126.88,164158.0
2022-10-17,134.06,134.04,134.07,196688.0
2022-10-18,132.82,132.81,132.84,195262.0
2022-10-19,133.23,133.22,133.24,236958.0
2022-10-20,131.5,131.49,131.5,178734.0
2022-10-21,130.0,129.99,130.01,335585.0
2022-10-24,129.74,129.71,129.77,496303.0
2022-10-25,137.5,137.49,137.52,283560.0
2022-10-26,129.84,129.82,129.87,376713.0
2022-10-27,97.91,97.9,97.91,1831100.0
2022-10-28,99.17,99.14,99.19,752385.0
2022-10-31,93.14,93.14,93.15,985222.0
2022-11-01,95.2,95.19,95.2,936029.0
2022-11-02,90.53,90.52,90.54,571366.0
2022-11-03,88.91,88.9,88.91,473354.0
2022-11-04,90.84,90.83,90.84,390618.0
2022-11-07,96.73,96.73,96.74,668440.0
2022-11-08,96.48,96.46,96.5,396455.0
2022-11-09,101.45,101.44,101.46,810904.0
2022-11-10,111.81,111.8,111.82,602065.0
2022-11-11,112.98,112.97,113.0,463237.0
2022-11-14,114.21,114.19,114.23,370476.0
2022-11-15,117.1,117.09,117.11,383261.0
2022-11-16,113.22,113.21,113.23,245228.0
2022-11-17,111.47,111.46,111.48,237152.0
2022-11-18,112.06,112.05,112.08,254052.0
2022-11-21,109.8,109.79,109.8,167020.0
2022-11-22,111.42,111.41,111.44,218575.0
2022-11-23,112.28,112.26,112.29,160265.0
2022-11-25,111.43,111.41,111.45,87844.0
2022-11-28,108.81,108.81,108.82,167046.0
2022-11-29,109.47,109.46,109.47,172891.0
2022-11-30,118.15,118.14,118.16,294491.0
2022-12-01,120.45,120.44,120.45,247746.0
2022-12-02,123.5,123.49,123.5,295459.0
2022-12-05,122.42,122.42,122.43,272236.0
2022-12-06,114.09,114.08,114.09,341046.0
2022-12-07,113.93,113.92,113.94,192490.0
2022-12-08,115.33,115.32,115.34,199121.0
2022-12-09,115.88,115.87,115.88,176303.0
2022-12-12,114.72,114.71,114.72,154772.0
2022-12-13,120.2,120.19,120.21,301984.0
2022-12-14,121.58,121.57,121.58,260455.0
2022-12-15,116.13,116.11,116.15,238188.0
2022-12-16,119.37,119.33,119.41,395695.0
2022-12-19,114.48,114.47,114.48,211436.0
2022-12-20,117.06,117.06,117.07,208982.0
2022-12-21,119.78,119.78,119.79,143675.0
2022-12-22,117.17,117.16,117.17,152521.0
2022-12-23,118.06,118.06,118.07,126076.0
2022-12-27,116.91,116.9,116.92,140404.0
2022-12-28,115.59,115.58,115.59,141418.0
2022-12-29,120.25,120.24,120.26,166277.0
2022-12-30,120.35,120.34,120.36,130820.0
2023-01-03,124.77,124.76,124.77,256128.0
2023-01-04,127.37,127.36,127.38,230118.0
2023-01-05,126.95,126.94,126.95,180817.0
2023-01-06,130.01,129.98,130.04,189596.0
2023-01-09,129.48,129.47,129.49,183786.0
2023-01-10,133.0,132.99,133.0,194887.0
2023-01-11,132.85,132.84,132.87,168641.0
2023-01-12,136.68,136.66,136.69,226942.0
2023-01-13,136.95,136.93,136.97,140782.0
2023-01-17,135.37,135.36,135.37,140122.0
2023-01-18,133.03,133.02,133.03,144321.0
2023-01-19,136.15,136.14,136.16,207554.0
2023-01-20,139.31,139.31,139.32,205878.0
2023-01-23,143.27,143.26,143.28,190602.0
2023-01-24,143.13,143.12,143.15,157606.0
2023-01-25,141.44,141.43,141.45,198801.0
2023-01-26,147.29,147.28,147.3,183077.0
2023-01-27,151.72,151.72,151.73,262681.0
2023-01-30,147.06,147.04,147.07,197526.0
2023-01-31,148.98,148.97,148.99,186333.0
2023-02-01,153.08,153.05,153.11,268688.0
2023-02-02,188.81,188.81,188.82,1181496.0
2023-02-03,186.51,186.5,186.52,599577.0
2023-02-06,186.08,186.07,186.08,315294.0
2023-02-07,191.63,191.62,191.63,351877.0
2023-02-08,183.47,183.44,183.5,267002.0
2023-02-09,177.9,177.88,177.92,283163.0
2023-02-10,174.13,174.12,174.15,239366.0
2023-02-13,179.41,179.38,179.44,225724.0
2023-02-14,179.47,179.45,179.49,168587.0
2023-02-15,177.18,177.16,177.19,168568.0
2023-02-16,172.41,172.37,172.44,171021.0
2023-02-17,172.88,172.88,172.89,149929.0
2023-02-21,172.09,172.08,172.11,236590.0
2023-02-22,171.16,171.13,171.2,149473.0
2023-02-23,172.03,172.0,172.06,129307.0
2023-02-24,170.41,170.39,170.42,139844.0
2023-02-27,169.57,169.56,169.58,122656.0
2023-02-28,174.91,174.91,174.92,303441.0
2023-03-01,173.42,173.41,173.43,212831.0
2023-03-02,174.53,174.53,174.54,123505.0
2023-03-03,185.27,185.25,185.28,331894.0
2023-03-06,184.93,184.91,184.94,231350.0
2023-03-07,184.52,184.5,184.54,268270.0
2023-03-08,184.97,184.97,184.98,145617.0
2023-03-09,181.67,181.65,181.69,194365.0
2023-03-10,179.5,179.49,179.5,181614.0
2023-03-13,180.88,180.87,180.88,169230.0
2023-03-14,194.03,194.02,194.05,298775.0
2023-03-15,197.77,197.76,197.78,295240.0
2023-03-16,204.94,204.93,204.96,368466.0
2023-03-17,195.63,195.61,195.65,268315.0
2023-03-20,197.84,197.82,197.86,171294.0
2023-03-21,202.16,202.15,202.18,216548.0
2023-03-22,199.75,199.75,199.76,208133.0
2023-03-23,204.24,204.23,204.25,190916.0
2023-03-24,206.06,206.03,206.09,208888.0
2023-03-27,202.86,202.84,202.88,125195.0
2023-03-28,200.67,200.66,200.68,137952.0
2023-03-29,205.34,205.33,205.36,129593.0
2023-03-30,207.86,207.85,207.87,159945.0
2023-03-31,211.95,211.9,212.0,162055.0
2023-04-03,213.07,213.04,213.1,128434.0
2023-04-04,214.72,214.72,214.73,146871.0
2023-04-05,211.49,211.48,211.5,134733.0
2023-04-06,216.11,216.1,216.11,190778.0
2023-04-10,214.75,214.74,214.75,111658.0
2023-04-11,213.87,213.84,213.89,112916.0
2023-04-12,214.05,213.99,214.1,138370.0
2023-04-13,220.36,220.35,220.36,172923.0
2023-04-14,221.5,221.46,221.53,159389.0
2023-04-17,218.89,218.88,218.9,98947.0
2023-04-18,217.9,217.89,217.9,80828.0
2023-04-19,215.69,215.67,215.7,102550.0
2023-04-20,213.08,213.07,213.08,95422.0
2023-04-21,212.93,212.92,212.93,109879.0
2023-04-24,212.82,212.8,212.84,91872.0
2023-04-25,207.53,207.53,207.54,117216.0
2023-04-26,209.25,209.22,209.27,207474.0
2023-04-27,238.58,238.56,238.59,485843.0
2023-04-28,240.31,240.3,240.33,271600.0
2023-05-01,243.12,243.11,243.12,214778.0
2023-05-02,239.25,239.24,239.26,150615.0
2023-05-03,237.03,237.01,237.06,248084.0
2023-05-04,233.52,233.51,233.52,120571.0
2023-05-05,232.81,232.77,232.85,186082.0
2023-05-08,233.29,233.28,233.3,104786.0
2023-05-09,233.43,233.42,233.44,115902.0
2023-05-10,233.11,233.07,233.14,124814.0
2023-05-11,235.79,235.78,235.8,130131.0
2023-05-12,233.84,233.83,233.84,100720.0
2023-05-15,238.89,238.88,238.9,141043.0
2023-05-16,238.8,238.77,238.82,116888.0
2023-05-17,242.49,242.47,242.5,147018.0
2023-05-18,246.85,246.84,246.86,152123.0
2023-05-19,245.61,245.57,245.64,140669.0
2023-05-22,248.39,248.37,248.4,187107.0
2023-05-23,246.78,246.76,246.8,116394.0
2023-05-24,249.19,249.18,249.21,112476.0
2023-05-25,252.7,252.66,252.74,138016.0
2023-05-26,262.01,261.99,262.04,162114.0
2023-05-30,262.6,262.58,262.61,145222.0
2023-05-31,264.75,264.72,264.78,112221.0
2023-06-01,272.62,272.61,272.62,166483.0
2023-06-02,272.59,272.58,272.6,123278.0
2023-06-05,271.41,271.39,271.42,141285.0
2023-06-06,271.06,271.05,271.07,133739.0
2023-06-07,263.66,263.63,263.68,150403.0
2023-06-08,264.55,264.54,264.55,140463.0
2023-06-09,264.97,264.95,264.98,109268.0
2023-06-12,271.12,271.09,271.15,96405.0
2023-06-13,271.33,271.32,271.35,102575.0
2023-06-14,273.39,273.38,273.4,102791.0
2023-06-15,281.85,281.83,281.86,152431.0
2023-06-16,281.0,280.98,281.02,217431.0
2023-06-20,284.32,284.32,284.33,116566.0
2023-06-21,281.63,281.63,281.64,103547.0
2023-06-22,284.87,284.85,284.88,114590.0
2023-06-23,288.68,288.65,288.71,171024.0
2023-06-26,278.5,278.48,278.53,156555.0
2023-06-27,287.01,286.99,287.03,173775.0
2023-06-28,285.35,285.32,285.37,107887.0
2023-06-29,281.61,281.59,281.62,95127.0
2023-06-30,286.88,286.85,286.92,112271.0
2023-07-03,286.0,285.99,286.0,58201.0
2023-07-05,294.37,294.36,294.37,248119.0
2023-07-06,291.99,291.97,292.01,346759.0
2023-07-07,290.54,290.51,290.56,180143.0
2023-07-10,294.14,294.13,294.16,257213.0
2023-07-11,298.26,298.26,298.27,197244.0
2023-07-12,309.36,309.35,309.37,253697.0
2023-07-13,313.38,313.37,313.4,207721.0
2023-07-14,308.91,308.88,308.93,152505.0
2023-07-17,310.61,310.6,310.61,165232.0
2023-07-18,312.01,312.0,312.02,131364.0
2023-07-19,315.92,315.87,315.96,138494.0
2023-07-20,302.53,302.52,302.53,145487.0
2023-07-21,294.31,294.27,294.36,205745.0
2023-07-24,291.62,291.61,291.62,149481.0
2023-07-25,294.44,294.41,294.46,111594.0
2023-07-26,298.81,298.76,298.85,221098.0
2023-07-27,311.73,311.7,311.76,451154.0
2023-07-28,325.35,325.3,325.4,272438.0
2023-07-31,318.64,318.62,318.66,163855.0
2023-08-01,322.69,322.67,322.72,154480.0
2023-08-02,314.3,314.25,314.34,131236.0
2023-08-03,313.19,313.18,313.19,101635.0
2023-08-04,310.75,310.71,310.78,107433.0
2023-08-07,316.58,316.56,316.61,106666.0
2023-08-08,312.69,312.66,312.71,101125.0
2023-08-09,305.22,305.18,305.26,125959.0
2023-08-10,305.78,305.75,305.8,98046.0
2023-08-11,301.69,301.65,301.74,93648.0
2023-08-14,306.19,306.19,306.2,92470.0
2023-08-15,301.94,301.92,301.95,66802.0
2023-08-16,294.29,294.28,294.29,112779.0
2023-08-17,285.1,285.08,285.11,148352.0
2023-08-18,283.26,283.25,283.28,207212.0
2023-08-21,289.88,289.86,289.9,113405.0
2023-08-22,287.61,287.6,287.62,76114.0
2023-08-23,294.24,294.22,294.25,97440.0
2023-08-24,286.73,286.7,286.76,98590.0
2023-08-25,285.44,285.38,285.5,153587.0
2023-08-28,290.26,290.24,290.29,86566.0
2023-08-29,297.96,297.9,298.01,134310.0
2023-08-30,295.11,295.1,295.11,106072.0
2023-08-31,295.89,295.89,295.9,98371.0
2023-09-01,296.46,296.44,296.48,84396.0
2023-09-05,300.12,300.09,300.15,81583.0
2023-09-06,299.19,299.16,299.22,101515.0
2023-09-07,298.72,298.67,298.77,247855.0
2023-09-08,297.87,297.85,297.88,110131.0
2023-09-11,307.55,307.54,307.56,128206.0
2023-09-12,301.73,301.72,301.73,83219.0
2023-09-13,305.08,305.03,305.12,83015.0
2023-09-14,311.67,311.64,311.7,118526.0
2023-09-15,300.33,300.28,300.38,154005.0
2023-09-18,302.52,302.5,302.55,68992.0
2023-09-19,305.08,305.06,305.09,108546.0
2023-09-20,299.61,299.6,299.61,107227.0
2023-09-21,295.72,295.71,295.73,141916.0
2023-09-22,299.06,299.03,299.09,166475.0
2023-09-25,300.87,300.85,300.89,120217.0
2023-09-26,299.1,299.09,299.11,126288.0
2023-09-27,297.77,297.74,297.8,264506.0
2023-09-28,303.98,303.97,303.98,152788.0
2023-09-29,300.18,300.16,300.2,170005.0
2023-10-02,306.83,306.82,306.83,108248.0
2023-10-03,300.93,300.91,300.95,109363.0
2023-10-04,305.5,305.49,305.5,109854.0
2023-10-05,304.78,304.76,304.8,133825.0
2023-10-06,315.41,315.39,315.42,144166.0
2023-10-09,318.4,318.39,318.4,157102.0
2023-10-10,321.85,321.84,321.86,130600.0
2023-10-11,327.83,327.81,327.85,148281.0
2023-10-12,324.15,324.14,324.16,132595.0
2023-10-13,314.71,314.69,314.73,135462.0
2023-10-16,321.17,321.16,321.18,100055.0
2023-10-17,324.02,324.0,324.05,107792.0
2023-10-18,316.98,316.97,316.98,107969.0
2023-10-19,312.78,312.77,312.79,117856.0
2023-10-20,308.66,308.64,308.68,141994.0
2023-10-23,314.0,313.99,314.01,111103.0
2023-10-24,312.6,312.56,312.63,116183.0
2023-10-25,299.55,299.54,299.55,205922.0
2023-10-26,288.35,288.34,288.36,464339.0
2023-10-27,296.75,296.74,296.75,206837.0
2023-10-30,302.76,302.74,302.78,193883.0
2023-10-31,301.24,301.23,301.24,117599.0
2023-11-01,311.86,311.85,311.87,132961.0
2023-11-02,310.91,310.88,310.95,145552.0
2023-11-03,314.64,314.6,314.69,106036.0
2023-11-06,315.82,315.8,315.84,81590.0
2023-11-07,318.86,318.84,318.87,87424.0
2023-11-08,319.75,319.72,319.78,82084.0
2023-11-09,320.59,320.58,320.59,87650.0
2023-11-10,328.69,328.67,328.7,112136.0
2023-11-13,329.19,329.19,329.2,93373.0
2023-11-14,336.27,336.26,336.28,100486.0
2023-11-15,332.73,332.71,332.74,85076.0
2023-11-16,334.2,334.18,334.22,107049.0
2023-11-17,335.08,335.05,335.1,83251.0
2023-11-20,339.99,339.97,340.0,95021.0
2023-11-21,337.01,336.98,337.04,70425.0
2023-11-22,341.47,341.45,341.49,66660.0
2023-11-24,338.19,338.13,338.24,32331.0
2023-11-27,334.71,334.7,334.71,84677.0
2023-11-28,338.98,338.97,338.99,72577.0
2023-11-29,332.18,332.16,332.2,99746.0
2023-11-30,327.13,327.1,327.17,114822.0
2023-12-01,324.82,324.8,324.83,92065.0
2023-12-04,320.0,319.97,320.03,118037.0
2023-12-05,318.39,318.38,318.41,107551.0
2023-12-06,317.39,317.33,317.45,68576.0
2023-12-07,326.62,326.59,326.64,97558.0
2023-12-08,332.79,332.76,332.82,74435.0
2023-12-11,325.3,325.28,325.32,157538.0
2023-12-12,334.25,334.24,334.26,99139.0
2023-12-13,334.66,334.64,334.68,101333.0
2023-12-14,333.27,333.25,333.29,112507.0
2023-12-15,334.56,333.87,335.24,123771.0
2023-12-18,344.63,344.61,344.65,120968.0
2023-12-19,350.43,350.41,350.44,113097.0
2023-12-20,349.25,349.23,349.28,99730.0
2023-12-21,354.02,353.96,354.08,87071.0
2023-12-22,353.42,353.39,353.45,72850.0
2023-12-26,354.86,354.83,354.88,58591.0
2023-12-27,357.89,357.88,357.91,68103.0
2023-12-28,358.34,358.31,358.36,72357.0
2023-12-29,354.0,353.95,354.05,84918.0
2024-01-02,346.28,346.23,346.33,108472.0
2024-01-03,344.49,344.43,344.54,82944.0
2024-01-04,347.11,347.09,347.13,62793.0
2024-01-05,351.94,351.91,351.96,86258.0
2024-01-08,358.66,358.65,358.67,71549.0
2024-01-09,357.4,357.36,357.44,65797.0
2024-01-10,370.47,370.46,370.48,149754.0
2024-01-11,369.75,369.72,369.78,100636.0
2024-01-12,374.5,374.48,374.52,107683.0
2024-01-16,367.46,367.42,367.5,83385.0
2024-01-17,368.37,368.35,368.39,77259.0
2024-01-18,376.17,376.12,376.21,90908.0
2024-01-19,383.46,383.4,383.51,114611.0
2024-01-22,381.85,381.83,381.87,98337.0
2024-01-23,385.23,385.2,385.26,89568.0
2024-01-24,390.72,390.67,390.77,90693.0
2024-01-25,393.22,393.18,393.25,80185.0
2024-01-26,394.12,394.1,394.14,71985.0
2024-01-29,401.1,401.08,401.11,101224.0
2024-01-30,399.93,399.9,399.95,111444.0
2024-01-31,390.0,389.97,390.02,111047.0
2024-02-01,394.79,394.77,394.8,129661.0
2024-02-02,474.93,474.86,474.99,578726.0
