,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-06-01,5.17,5.17,5.18,47391.0
2022-06-02,5.55,5.54,5.55,63014.0
2022-06-03,5.49,5.48,5.49,39449.0
2022-06-06,5.5,5.49,5.5,44501.0
2022-06-07,5.62,5.62,5.63,34229.0
2022-06-08,5.43,5.43,5.43,32020.0
2022-06-09,5.02,5.02,5.03,31781.0
2022-06-10,4.88,4.88,4.89,27772.0
2022-06-13,4.69,4.69,4.69,43713.0
2022-06-14,4.64,4.63,4.64,17524.0
2022-06-15,4.72,4.72,4.72,24492.0
2022-06-16,4.29,4.29,4.3,39493.0
2022-06-17,4.31,4.31,4.31,31423.0
2022-06-21,4.5,4.5,4.5,25553.0
2022-06-22,4.34,4.33,4.34,19273.0
2022-06-23,4.16,4.16,4.17,31804.0
2022-06-24,4.27,4.26,4.27,43266.0
2022-06-27,4.33,4.32,4.33,20007.0
2022-06-28,4.18,4.18,4.19,19133.0
2022-06-29,4.11,4.11,4.11,24411.0
2022-06-30,4.03,4.03,4.04,19081.0
2022-07-01,3.92,3.91,3.92,56179.0
2022-07-05,3.9,3.9,3.9,23029.0
2022-07-06,3.91,3.91,3.91,19728.0
2022-07-07,4.04,4.03,4.04,20453.0
2022-07-08,4.05,4.04,4.05,12667.0
2022-07-11,4.03,4.03,4.04,10195.0
2022-07-12,4.07,4.07,4.07,14385.0
2022-07-13,4.11,4.11,4.11,12693.0
2022-07-14,4.1,4.1,4.1,14485.0
2022-07-15,4.21,4.21,4.22,23253.0
2022-07-18,4.25,4.25,4.25,20902.0
2022-07-19,4.38,4.37,4.38,17775.0
2022-07-20,4.56,4.55,4.56,20865.0
2022-07-21,5.16,5.16,5.16,155434.0
2022-07-22,5.07,5.07,5.08,40768.0
2022-07-25,5.25,5.25,5.25,30182.0
2022-07-26,5.17,5.16,5.17,25622.0
2022-07-27,5.14,5.14,5.14,27093.0
2022-07-28,5.31,5.31,5.32,23938.0
2022-07-29,5.4,5.4,5.4,31382.0
2022-08-01,5.53,5.52,5.53,34323.0
2022-08-02,5.61,5.61,5.62,27753.0
2022-08-03,5.73,5.73,5.74,25415.0
2022-08-04,5.92,5.91,5.92,31819.0
2022-08-05,5.9,5.9,5.91,37779.0
2022-08-08,6.11,6.1,6.11,46539.0
2022-08-09,5.83,5.82,5.83,43357.0
2022-08-10,6.37,6.36,6.37,122495.0
2022-08-11,6.41,6.41,6.42,47499.0
2022-08-12,6.53,6.53,6.53,71766.0
2022-08-15,6.7,6.7,6.71,38613.0
2022-08-16,6.61,6.6,6.61,39794.0
2022-08-17,6.76,6.75,6.76,48949.0
2022-08-18,7.19,7.19,7.2,76444.0
2022-08-19,6.98,6.98,6.98,47704.0
2022-08-22,6.79,6.79,6.8,53150.0
2022-08-23,6.77,6.77,6.78,24351.0
2022-08-24,7.03,7.03,7.03,55005.0
2022-08-25,7.44,7.44,7.44,52992.0
2022-08-26,6.98,6.98,6.98,48364.0
2022-08-29,6.93,6.93,6.93,53007.0
2022-08-30,6.46,6.46,6.46,61375.0
2022-08-31,6.51,6.5,6.51,57502.0
2022-09-01,6.33,6.33,6.33,56475.0
2022-09-02,6.46,6.46,6.47,39079.0
2022-09-06,6.16,6.15,6.16,35950.0
2022-09-07,6.33,6.32,6.33,36454.0
2022-09-08,6.5,6.49,6.5,21275.0
2022-09-09,6.68,6.68,6.69,21117.0
2022-09-12,6.66,6.66,6.67,31878.0
2022-09-13,6.34,6.34,6.34,28528.0
2022-09-14,6.43,6.43,6.44,22578.0
2022-09-15,6.53,6.53,6.54,29661.0
2022-09-16,6.23,6.22,6.23,38940.0
2022-09-19,5.79,5.79,5.8,73857.0
2022-09-20,5.58,5.58,5.58,44619.0
2022-09-21,5.5,5.5,5.51,34151.0
2022-09-22,5.42,5.41,5.42,33077.0
2022-09-23,5.35,5.34,5.35,35535.0
2022-09-26,5.22,5.21,5.22,24264.0
2022-09-27,5.35,5.35,5.35,14653.0
2022-09-28,5.56,5.56,5.57,18632.0
2022-09-29,5.45,5.45,5.46,11382.0
2022-09-30,5.51,5.5,5.51,21907.0
2022-10-03,5.71,5.71,5.71,24018.0
2022-10-04,6.03,6.02,6.03,32928.0
2022-10-05,6.05,6.05,6.06,40985.0
2022-10-06,6.14,6.14,6.15,23495.0
2022-10-07,5.89,5.89,5.89,21686.0
2022-10-10,5.62,5.62,5.62,19910.0
2022-10-11,5.58,5.57,5.58,17772.0
2022-10-12,5.24,5.24,5.24,25200.0
2022-10-13,5.52,5.51,5.52,36503.0
2022-10-14,5.4,5.4,5.4,22455.0
2022-10-17,5.61,5.61,5.61,18159.0
2022-10-18,5.53,5.53,5.54,18262.0
2022-10-19,5.56,5.56,5.56,11366.0
2022-10-20,6.13,6.13,6.13,129990.0
2022-10-21,6.45,6.45,6.46,66801.0
2022-10-24,6.31,6.3,6.31,31484.0
2022-10-25,6.71,6.7,6.71,41554.0
2022-10-26,6.57,6.56,6.57,22855.0
2022-10-27,6.68,6.68,6.69,34974.0
2022-10-28,6.87,6.87,6.87,25200.0
2022-10-31,6.96,6.96,6.96,37231.0
2022-11-01,7.18,7.18,7.19,55284.0
2022-11-02,8.08,8.07,8.1,270283.0
2022-11-03,7.97,7.97,7.97,77393.0
2022-11-04,7.67,7.66,7.67,80529.0
2022-11-07,7.72,7.72,7.73,39304.0
2022-11-08,7.83,7.83,7.84,42102.0
2022-11-09,7.65,7.64,7.65,36820.0
2022-11-10,8.07,8.07,8.07,50312.0
2022-11-11,8.35,8.34,8.35,97874.0
2022-11-14,8.19,8.18,8.19,54593.0
2022-11-15,8.69,8.69,8.7,80013.0
2022-11-16,8.21,8.21,8.22,57778.0
2022-11-17,8.7,8.69,8.7,71245.0
2022-11-18,8.65,8.64,8.65,61577.0
2022-11-21,8.4,8.39,8.4,24866.0
2022-11-22,8.78,8.78,8.79,46971.0
