,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2022-04-20,21.48,21.48,21.48,3318826.0
2022-04-21,20.16,20.16,20.17,4573476.0
2022-04-22,19.51,19.51,19.51,4172296.0
2022-04-25,19.91,19.9,19.91,4823856.0
2022-04-26,18.78,18.78,18.78,4678276.0
2022-04-27,18.41,18.41,18.42,3627949.0
2022-04-28,19.79,19.79,19.79,4161752.0
2022-04-29,18.55,18.55,18.55,3399409.0
2022-05-02,19.54,19.54,19.54,4290025.0
2022-05-03,19.61,19.61,19.61,3621337.0
2022-05-04,20.34,20.34,20.34,4784374.0
2022-05-05,18.85,18.85,18.85,4519748.0
2022-05-06,18.68,18.68,18.68,4762430.0
2022-05-09,16.96,16.95,16.96,4638579.0
2022-05-10,17.59,17.59,17.59,5677337.0
2022-05-11,16.64,16.64,16.64,4839064.0
2022-05-12,16.18,16.18,16.18,5092343.0
2022-05-13,17.71,17.71,17.71,4995966.0
2022-05-16,17.26,17.26,17.26,4063572.0
2022-05-17,18.18,18.18,18.18,4463251.0
2022-05-18,16.95,16.94,16.95,4024799.0
2022-05-19,17.12,17.12,17.13,4879587.0
2022-05-20,16.7,16.69,16.7,5645826.0
2022-05-23,16.9,16.9,16.9,4950419.0
2022-05-24,16.16,16.15,16.17,4442394.0
2022-05-25,16.96,16.95,16.98,5441669.0
2022-05-26,17.84,17.84,17.84,7486193.0
2022-05-27,18.83,18.83,18.84,5198191.0
2022-05-31,18.67,18.66,18.67,4455292.0
2022-06-01,18.31,18.3,18.31,4163091.0
2022-06-02,19.59,19.59,19.59,4879454.0
2022-06-03,18.72,18.72,18.72,4410680.0
2022-06-06,18.79,18.78,18.79,3174653.0
2022-06-07,18.92,18.92,18.93,2859503.0
2022-06-08,18.65,18.65,18.65,2797279.0
2022-06-09,18.04,18.04,18.04,2878476.0
2022-06-10,16.97,16.97,16.97,3317309.0
2022-06-13,15.65,15.65,15.65,4238497.0
2022-06-14,15.84,15.84,15.85,3582420.0
2022-06-15,16.53,16.53,16.53,4314197.0
2022-06-16,15.6,15.6,15.6,3676995.0
2022-06-17,15.88,15.88,15.88,4012957.0
2022-06-21,16.57,16.57,16.57,3546641.0
2022-06-22,16.36,16.36,16.36,3241678.0
2022-06-23,16.23,16.22,16.23,3554687.0
2022-06-24,17.14,17.14,17.14,3420298.0
2022-06-27,16.87,16.87,16.87,3270933.0
2022-06-28,15.98,15.98,15.98,3310072.0
2022-06-29,15.54,15.54,15.55,3690824.0
2022-06-30,15.16,15.16,15.17,5137481.0
2022-07-01,14.52,14.52,14.52,4395109.0
2022-07-05,14.97,14.97,14.97,5006021.0
2022-07-06,15.13,15.13,15.13,4248191.0
2022-07-07,15.86,15.86,15.87,3923172.0
2022-07-08,15.83,15.83,15.84,3807632.0
2022-07-11,15.15,15.15,15.15,3175885.0
2022-07-12,15.08,15.08,15.08,3320769.0
2022-07-13,15.16,15.16,15.16,3883050.0
2022-07-14,15.37,15.37,15.37,3472970.0
2022-07-15,15.76,15.76,15.76,2717987.0
2022-07-18,16.1,16.1,16.1,5111487.0
2022-07-19,16.99,16.99,16.99,5280962.0
2022-07-20,17.81,17.8,17.81,5871348.0
2022-07-21,18.05,18.05,18.05,4097264.0
2022-07-22,17.32,17.32,17.32,3998630.0
2022-07-25,17.03,17.03,17.03,3658712.0
2022-07-26,16.53,16.53,16.53,2910342.0
2022-07-27,17.79,17.79,17.79,4132917.0
2022-07-28,17.99,17.99,17.99,3553003.0
2022-07-29,18.16,18.16,18.16,3142181.0
2022-08-01,18.44,18.44,18.44,3585314.0
2022-08-02,18.53,18.53,18.53,3691704.0
2022-08-03,18.89,18.89,18.89,3040575.0
2022-08-04,19.22,19.21,19.22,3152103.0
2022-08-05,18.99,18.99,18.99,2858068.0
2022-08-08,17.8,17.8,17.8,7343533.0
2022-08-09,17.09,17.09,17.09,5158275.0
2022-08-10,18.1,18.1,18.1,4431977.0
2022-08-11,17.94,17.94,17.94,3950635.0
2022-08-12,18.71,18.71,18.71,3667697.0
2022-08-15,19.03,19.03,19.03,3573359.0
2022-08-16,18.88,18.88,18.88,3355077.0
2022-08-17,18.34,18.34,18.34,3420535.0
2022-08-18,18.77,18.77,18.77,3163667.0
2022-08-19,17.85,17.85,17.85,3266016.0
2022-08-22,17.04,17.04,17.04,3030576.0
2022-08-23,17.18,17.18,17.19,2765400.0
2022-08-24,17.21,17.2,17.22,3616682.0
2022-08-25,17.92,17.92,17.92,6011339.0
2022-08-26,16.25,16.25,16.25,5753230.0
2022-08-29,15.8,15.8,15.8,3751182.0
2022-08-30,15.47,15.47,15.47,3988084.0
2022-08-31,15.1,15.09,15.1,3870212.0
2022-09-01,13.94,13.94,13.94,8895768.0
2022-09-02,13.65,13.65,13.65,5616405.0
2022-09-06,13.47,13.47,13.47,4067412.0
2022-09-07,13.72,13.71,13.72,3733701.0
2022-09-08,13.99,13.99,13.99,4863684.0
2022-09-09,14.39,14.39,14.39,3698452.0
2022-09-12,14.51,14.51,14.51,3830959.0
2022-09-13,13.13,13.13,13.13,4984307.0
2022-09-14,13.13,13.13,13.13,4438311.0
2022-09-15,12.93,12.93,12.93,3943712.0
2022-09-16,13.2,13.2,13.2,4887336.0
2022-09-19,13.38,13.38,13.38,4443901.0
2022-09-20,13.18,13.17,13.18,4306694.0
2022-09-21,13.26,13.25,13.26,6485098.0
2022-09-22,12.56,12.56,12.56,6078739.0
2022-09-23,12.52,12.52,12.52,5193856.0
2022-09-26,12.22,12.22,12.22,4119050.0
2022-09-27,12.41,12.41,12.41,4432058.0
2022-09-28,12.73,12.73,12.73,4146604.0
2022-09-29,12.23,12.22,12.23,4052167.0
2022-09-30,12.14,12.13,12.14,4323366.0
2022-10-03,12.51,12.51,12.52,4249712.0
2022-10-04,13.17,13.17,13.17,4481224.0
2022-10-05,13.21,13.2,13.21,4126859.0
2022-10-06,13.13,13.13,13.13,5196484.0
2022-10-07,12.08,12.08,12.08,5116630.0
2022-10-10,11.67,11.67,11.67,5470466.0
2022-10-11,11.59,11.58,11.59,5233344.0
2022-10-12,11.5,11.5,11.5,3830164.0
2022-10-13,11.96,11.96,11.96,6862148.0
2022-10-14,11.23,11.23,11.24,5839060.0
2022-10-17,11.89,11.89,11.89,4676173.0
2022-10-18,11.97,11.97,11.97,5532512.0
2022-10-19,12.06,12.05,12.06,4255150.0
2022-10-20,12.18,12.18,12.18,5364961.0
2022-10-21,12.46,12.46,12.46,4993961.0
2022-10-24,12.6,12.6,12.6,4240231.0
2022-10-25,13.26,13.25,13.26,4007656.0
2022-10-26,12.9,12.9,12.9,4132078.0
2022-10-27,13.17,13.17,13.18,4369178.0
2022-10-28,13.83,13.83,13.83,4089048.0
2022-10-31,13.5,13.5,13.5,3775483.0
2022-11-01,13.54,13.54,13.54,3447305.0
2022-11-02,13.22,13.22,13.22,5361174.0
2022-11-03,13.42,13.42,13.42,3957827.0
2022-11-04,14.18,14.17,14.18,4647558.0
2022-11-07,14.3,14.3,14.3,3267726.0
2022-11-08,14.6,14.6,14.6,4754706.0
2022-11-09,13.78,13.78,13.79,3446880.0
