,MSFT,MSFT_bid,MSFT_ask,MSFT_vol
2005-05-31,119.5,119.5,119.49,396647.0
2005-06-01,120.46,120.53,120.39,634225.0
2005-06-02,120.75,120.74,120.75,372892.0
2005-06-03,120.11,120.1,120.12,542848.0
2005-06-06,120.1,120.1,120.1,349795.0
2005-06-07,120.16,120.15,120.17,636699.0
2005-06-08,119.91,119.9,119.91,421150.0
2005-06-09,120.45,120.45,120.46,532031.0
2005-06-10,120.21,120.19,120.23,339342.0
2005-06-13,120.58,120.57,120.58,437078.0
2005-06-14,120.84,120.83,120.84,321634.0
2005-06-15,121.05,121.04,121.05,503761.0
2005-06-16,121.42,121.42,121.43,423042.0
2005-06-17,121.4,121.39,121.41,480846.0
2005-06-20,121.42,121.41,121.43,377948.0
2005-06-21,121.47,121.48,121.45,375629.0
2005-06-22,121.52,121.53,121.5,374222.0
2005-06-23,119.88,119.88,119.87,592886.0
2005-06-24,119.06,119.05,119.06,554172.0
2005-06-27,119.14,119.14,119.15,457092.0
2005-06-28,120.19,120.17,120.2,405389.0
2005-06-29,119.84,119.83,119.86,380665.0
2005-06-30,119.16,119.15,119.17,576989.0
2005-07-01,119.55,119.54,119.56,428619.0
2005-07-05,120.48,120.48,120.47,488629.0
2005-07-06,119.47,119.46,119.47,506580.0
2005-07-07,119.92,119.91,119.92,892756.0
2005-07-08,121.27,121.27,121.26,601080.0
2005-07-11,121.98,121.97,121.98,482291.0
2005-07-12,122.25,122.28,122.22,496233.0
2005-07-13,122.47,122.46,122.47,384840.0
2005-07-14,122.83,122.86,122.8,575345.0
2005-07-15,122.81,122.79,122.82,520367.0
2005-07-18,122.37,122.39,122.35,378041.0
2005-07-19,123.02,123.02,123.01,554678.0
2005-07-20,123.42,123.41,123.42,624467.0
2005-07-21,122.75,122.74,122.75,841641.0
2005-07-22,123.5,123.49,123.51,447017.0
2005-07-25,123.19,123.18,123.19,529699.0
2005-07-26,123.3,123.29,123.3,403174.0
2005-07-27,123.78,123.77,123.8,398847.0
2005-07-28,124.53,124.53,124.54,454560.0
2005-07-29,123.76,123.75,123.77,561979.0
2005-08-01,123.62,123.6,123.63,389082.0
2005-08-02,124.38,124.38,124.38,403646.0
2005-08-03,124.67,124.67,124.68,343441.0
2005-08-04,123.72,123.71,123.73,450276.0
2005-08-05,122.91,122.91,122.9,460769.0
2005-08-08,122.67,122.67,122.68,456784.0
2005-08-09,123.42,123.41,123.42,448690.0
2005-08-10,123.37,123.36,123.37,710989.0
2005-08-11,123.84,123.84,123.85,537332.0
2005-08-12,123.09,123.08,123.09,519682.0
2005-08-15,123.81,123.8,123.81,353458.0
2005-08-16,122.22,122.22,122.21,645884.0
2005-08-17,122.23,122.23,122.24,568988.0
2005-08-18,122.19,122.18,122.19,514489.0
2005-08-19,122.49,122.5,122.48,387416.0
2005-08-22,122.48,122.47,122.5,598226.0
2005-08-23,122.25,122.26,122.23,500946.0
2005-08-24,121.16,121.16,121.15,752118.0
2005-08-25,121.56,121.56,121.57,335987.0
2005-08-26,120.78,120.78,120.78,542550.0
2005-08-29,121.66,121.65,121.66,510554.0
2005-08-30,121.07,121.06,121.08,687300.0
2005-08-31,122.55,122.54,122.55,876358.0
2005-09-01,122.45,122.45,122.46,659143.0
2005-09-02,122.25,122.24,122.25,383895.0
2005-09-06,123.73,123.73,123.74,505806.0
2005-09-07,123.91,123.9,123.91,358556.0
2005-09-08,123.53,123.52,123.53,357620.0
